p_id,name,products,price,colour,brand,img,ratingCount,avg_rating,description,p_attributes
17681042,UNITED LIBERTY Green & Gold-Toned Pure Chiffon Saree,Saree,2399,Green,UNITED LIBERTY,http://assets.myntassets.com/assets/images/17681042/2022/5/8/29b32587-da56-40f2-8405-cbfb131b896e1652023283694UNITEDLIBERTYGreenGold-TonedPureChiffonSaree1.jpg,12,4.338709677,<b> Design Details </b> <ul> <li> Green and gold-toned saree </li> <li> Solid saree with woven design border </li> </ul> <br> The saree comes with an unstitched blouse piece<br>The blouse worn by the model might be for modelling purpose only. Check the image of the blouse piece to understand how the actual blouse piece looks like.Length: 5.5 metres plus 0.8 metre blouse piece <br> Width: 1.06 metres (approx.)100% Chiffon<br>Machine Wash,"{'Blouse': 'Blouse Piece', 'Blouse Fabric': 'Brocade', 'Border': 'Woven Design', 'Care for me': '', 'Multipack Set': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'NA', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Saree Fabric': 'Pure Chiffon', 'Sustainable': 'Regular', 'Trends': 'NA', 'Type': 'NA', 'Wash Care': 'Machine Wash', 'Wedding': 'Guests & Gifting'}"
16504960,Colour Me by Melange Women Multicoloured Colourblocked Longline Button Shrug,Shrug,1599,Multi,Colour Me by Melange,http://assets.myntassets.com/assets/images/16504960/2021/12/14/5e97dc41-ccff-4d03-a162-61e69aaa05061639424646463ColourMebyMelangeWomenBluePrinted1.jpg,149,,"Multicoloured colourblocked button longline shrug ,has long sleeves,  straight hemMaterial: Acrylic<br>Machine WashThe model (height 5'8) is wearing a size S","{'Body or Garment Size': 'Garment Measurements in', 'Fabric': 'Acrylic', 'Front Styling': 'Button', 'Hemline': 'Straight', 'Length': 'Longline', 'Main Trend': 'Colourblocked', 'Occasion': 'Casual', 'Pattern': 'Colourblocked', 'Sleeve Length': 'Long Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Wash Care': 'Machine Wash'}"
8715089,plusS Women Blue Printed Peplum Top,Top,1799,Blue,plusS,http://assets.myntassets.com/assets/images/productimage/2019/2/5/7101baae-d88f-4015-b951-fd1ade647c8a1549348561445-1.jpg,45,4.278657968,"Blue printed woven peplum top, has a V-neck, three-quarter sleeves, tie up detailFitted<br> The model (height 5'8"") is wearing a size SPolyester<br> Machine-wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'NA', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Neck': 'V-Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'Tie-Ups', 'Transparency': 'Opaque', 'Type': 'Peplum', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}"
2452454,Dupatta Bazaar Beige & Red Embroidered Dupatta,Dupatta,1399,Beige,Dupatta Bazaar,http://assets.myntassets.com/assets/images/2452454/2018/2/5/11517832971393-Dupatta-Bazaar-Womens-Ivory-Cotton-Blend-dupatta-with-Multicoloured-Floral-Embroidery-7651517832971266-1.jpg,3,,"Beige and red embroidered dupatta, has taping along the border.Cotton Blend<br> Hand-washLength: 2.50""metres<br>Width: 1""metre","{'Border': 'Taping', 'Fabric': 'Cotton Blend', 'Occasion': 'Party', 'Ornamentation': 'NA', 'Pattern': 'Embroidered', 'Print or Pattern Type': 'Floral', 'Technique': 'NA', 'Wash Care': 'Hand Wash'}"
15789142,Slazenger Women Black Running Sporty Rapid-Dry Jacket,"Jacket, Running Sporty Jacket, Rapid-Dry Jacket",2499,Black,Slazenger,http://assets.myntassets.com/assets/images/15789142/2021/11/25/624fac38-e0c7-4b90-a262-6a69bc764bb71637821237828-Slazenger-Women-Jackets-1361637821237084-1.jpg,34,4.220264317,"The Slazenger Women's Running Jacket is an exciting addition to your running gear. Designed with Ultra Dry and Anti Static technology, it wicks away sweat to keep you dry and fits without clinging to your body so you can move with ease. A high neck keeps the wind at bay so you can enjoy a run everyday of the year.<br><br><b>Features</b><ul><li>Running Jacket</li><li>Ultra Dry Moisture Wicking technology keeps sweat at bay so you stay cool and dry</li><li>Anti Static technology offers a comfortable fit without fear of having the outfit cling to your body</li><li>Neck: High neck</li><li>Sleeve length: Full sleeves</li><li>Design: Solid</li><li>Length: Regular</li><li>Fit: Slim fit</li></ul>Outer shell: Polyester <br> Lining fabric: Polyester <br> Machine washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '443,324,333,424', 'Body or Garment Size': 'Garment Measurements in', 'Character': 'NA', 'Closure': 'Zip', 'Collar': 'Mock Collar', 'Fabric': 'Polyester', 'Features': 'NA', 'Hemline': 'Straight', 'Length': 'Regular', 'Lining Fabric': 'Polyester', 'Main Trend': 'NA', 'Number of Pockets': '3', 'Occasion': 'Sports', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sport': 'Running', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Technology': 'Antimicrobial', 'Technology Present': 'No', 'Type': 'Sporty Jacket', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven'}"
15258164,Libas Solid Georgette Saree,Saree,3999,Teal,Libas,http://assets.myntassets.com/assets/images/15258164/2021/11/16/f69ae423-d041-4783-a34e-225f44a1df1b1637040119967-Libas-Teal-Blue-Pure-Georgette-Dhoti-Saree-with-Detachable-P-1.jpg,29,4.223880597,"Offering both style and elegance, this saree is the ideal festive wear. Beautifully detailed with a sleek border, this saree's classy pure georgette blouse adds to its beauty.&nbsp;<ul><li>Teal solid saree with border</li><li>Solid border</li><li>Pure georgette blouse</li><li>Pure georgette, hand wash</li><li></li></ul><b>Trend Alert</b><br>A blend of comfort and style, dhoti sets are a form of traditional attire that comprises a well-fitted dhoti with matching top wear.Saree fabric:  Pure Georgette <br> Blouse fabric:  Pure Georgette <br> Hand washThe model (height 5'8"") is wearing a size S","{'Blouse': 'Stitched Blouse', 'Blouse Fabric': 'Pure Georgette', 'Border': 'Solid', 'Care for me': 'Lightweight and breezy, georgette is an all-weather fabric with a smooth texture and a soft drape. Resistant to wrinkles and shrinkage, this fabric is durable despite its translucent appearance. The flowy look and finish and ability to take on vibrant prints make this fade-resistant material an ideal choice.', 'Multipack Set': 'NA', 'Occasion': 'Party', 'Ornamentation': 'NA', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Saree Fabric': 'Pure Georgette', 'Style Tip': 'Enhance your ethnic look with studded drop earrings, a pair of sparkly mojaris, and an elegant bracelet', 'Sustainable': 'Regular', 'Trends': 'Dhoti Saree', 'Type': 'NA', 'Wash Care': 'Hand Wash', 'Where-to-wear': 'Look a cut above the rest at wedding festivities'}"
11244988,Mitera Pink & Gold-Toned Silk Blend Woven Design Kanjeevaram Saree,Saree,3999,Pink,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/12/27/d0695b96-356b-43c4-a709-0331cea404951577424546692-1.jpg,204,4.086805556,<b>Design Details:</b><br>Pink and Gold-toned kanjeevaram woven design saree and has a woven design border<br>Blouse Piece<br>The model is wearing a stitched version of the blouse piece. The saree comes with an unstitched blouse piece<br><b>Origin:</b><br>Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram village.Saree fabric: silk blend<br>Blouse fabric: silk blend<br>Dry-cleanLength: 5.5 metres plus 0.8 metre blouse piece<br>Width: 1.06 metres (approx),"{'Blouse': 'Blouse Piece', 'Blouse Fabric': 'Silk Blend', 'Border': 'Woven Design', 'Occasion': 'Traditional', 'Ornamentation': 'NA', 'Pattern': 'Woven Design', 'Print or Pattern Type': 'Ethnic Motifs', 'Saree Fabric': 'Silk Blend', 'Trends': 'NA', 'Type': 'Kanjeevaram', 'Wash Care': 'Dry Clean'}"
17162228,Tokyo Talkies Women White Slim Fit Mildly Distressed Jeans,Jeans,2099,White,Tokyo Talkies,http://assets.myntassets.com/assets/images/17162228/2022/2/15/be30faef-4264-4f40-b3cd-88a1268a30561644918970172TokyoTalkiesWomenWhiteSlimFitMildlyDistressedJeans1.jpg,168,3.756756757,"<ul> <li> Light shade,  no fade white jeans </li> <li> Slim fit,  mid-rise </li> <li> Mildly distressed </li> <li> Non stretchable </li> <li> 5 pocket </li> <li> Length: cropped </li> </ul><br> Fit: Slim Fit <br> Non Stretchable <br> The model (height 5'8) is wearing a size 28<p>98% COTTON 2% LYCRA Machine wash</p>","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Slip-On', 'Distress': 'Mildly Distressed', 'Effects': 'None', 'Fabric': 'Cotton', 'Fabric 2': 'Blended', 'Fabric 3': 'NA', 'Fade': 'No Fade', 'Features': 'NA', 'Fit': 'Slim Fit', 'Length': 'Cropped', 'Main Trend': 'NA', 'Number of Pockets': '5', 'Occasion': 'Casual', 'Reversible': 'No', 'Shade': 'Light', 'Stretch': 'Non Stretchable', 'Sustainable': 'Regular', 'Type of Distress': 'Ripped', 'Waist Rise': 'Mid-Rise', 'Waistband': 'With belt loops', 'Wash Care': 'Machine Wash'}"
5709433,Chemistry Women Brown Solid Parka,Parka,5999,Brown,Chemistry,http://assets.myntassets.com/assets/images/5709433/2018/9/6/f8edfec2-d665-4dec-8bd0-1c549d9b2c051536228338868-Chemistry-Women-Brown-Solid-Parka-7841536228337271-1.jpg,176,4.430317848,"Brown solid parka, has a hooded, zip closure, long sleeves, straight hem, polyester liningWool<br>Machine-washThe model (height 5'8"") is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Zip', 'Collar': 'Hooded', 'Fabric': 'Wool', 'Features': 'NA', 'Hemline': 'Straight', 'Length': 'Longline', 'Lining Fabric': 'Polyester', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Surface Styling': 'NA', 'Type': 'Parka', 'Wash Care': 'Machine Wash'}"
15517674,GRACIT Women Maroon & Navy Blue Printed Palazzos Pack of 2,Palazzos,2738,Maroon,GRACIT,http://assets.myntassets.com/assets/images/15517674/2021/9/17/b02bb5d6-c5ca-4a8d-bc91-cc7fdd4ecf211631887965901WomenMaroonNavyRayonFullPrintedPalazzo1.jpg,110,,"Pack of&nbsp; Maroon &amp; Navy Blue&nbsp;printed palazzos&nbsp;<br>Drawstring, elasticated waistband&nbsp;<br>Ethnic motifs<br><br>Women Rayon Full printed palazzo are a stylish piece of casual clothing. Featuring a mid-rise, soft, elasticated waistband - these palazzo promise a perfect and comfortable fit. Available in many shades, these pair well with indo-western tunics and Kurti.<p>Regular</p>Viscose Rayon<br>Machine wash","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Drawstring', 'Fabric': 'Viscose Rayon', 'Fabric 2': 'NA', 'Fit': 'Flared', 'Length': 'Regular', 'Main Trend': 'NA', 'Multipack Set': '2', 'Number of Pockets': 'NA', 'Occasion': 'Western', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sustainable': 'Regular', 'Transparency': 'Sheer with Half Lining', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}"
